pressure: 998.329, temp: 22.5317,  time: 3.536
pressure: 998.8948, temp: 22.54876,  time: 17.909
pressure: 999.4608, temp: 22.56581,  time: 32.101
pressure: 998.9258, temp: 22.56581,  time: 46.295
pressure: 998.9258, temp: 22.56581,  time: 58.991
pressure: 998.6273, temp: 22.54876,  time: 73.254
pressure: 998.5966, temp: 22.5317,  time: 87.462
pressure: 999.2133, temp: 22.42937,  time: 101.73
pressure: 999.1716, temp: 22.25881,  time: 116.018
pressure: 998.677, temp: 21.98592,  time: 130.298
pressure: 999.5981, temp: 21.61069,  time: 144.634
pressure: 998.8549, temp: 21.20136,  time: 157.446
pressure: 998.6625, temp: 20.65558,  time: 171.795
pressure: 999.0492, temp: 19.99041,  time: 186.187
pressure: 999.3038, temp: 19.25528,  time: 200.628
pressure: 998.8596, temp: 18.43067,  time: 215.019
pressure: 999.0073, temp: 17.49794,  time: 229.411
pressure: 999.1703, temp: 16.57729,  time: 243.82
pressure: 998.8923, temp: 15.56389,  time: 258.327
pressure: 998.5634, temp: 14.5267,  time: 272.708
pressure: 998.938, temp: 13.44766,  time: 287.176
pressure: 999.2584, temp: 12.48675,  time: 300.012
pressure: 999.0333, temp: 11.3769,  time: 314.428
pressure: 999.4673, temp: 10.20579,  time: 328.9
pressure: 998.7115, temp: 9.099708,  time: 343.45
pressure: 998.6461, temp: 7.950212,  time: 357.9
pressure: 999.1778, temp: 6.848698,  time: 372.399
pressure: 998.8077, temp: 5.685013,  time: 386.846
pressure: 998.8472, temp: 4.607259,  time: 401.355
pressure: 999.274, temp: 3.467113,  time: 415.916
pressure: 998.9789, temp: 2.357868,  time: 430.37
pressure: 998.8075, temp: 1.318085,  time: 444.882
pressure: 998.7283, temp: 0.1965234,  time: 459.4
pressure: 998.5917, temp: -0.8164153,  time: 473.859
pressure: 998.8359, temp: -1.89228,  time: 488.427
pressure: 998.5897, temp: -2.95452,  time: 502.953
pressure: 999.1575, temp: -3.983375,  time: 517.494
pressure: 998.7342, temp: -4.997816,  time: 532.034
pressure: 998.5471, temp: -6.017208,  time: 546.58
pressure: 998.4568, temp: -6.982319,  time: 561.174
pressure: 999.1412, temp: -7.931998,  time: 575.789
pressure: 998.2693, temp: -8.905813,  time: 590.323
pressure: 998.6142, temp: -9.764007,  time: 604.866
pressure: 998.1602, temp: -10.64566,  time: 619.398
pressure: 998.9774, temp: -11.51071,  time: 634.002
pressure: 998.1197, temp: -12.33867,  time: 648.613
pressure: 998.6508, temp: -13.0885,  time: 663.211
pressure: 998.5967, temp: -13.88157,  time: 677.762
pressure: 998.3258, temp: -14.65699,  time: 692.409
pressure: 998.0053, temp: -15.45556,  time: 707.055
pressure: 998.4147, temp: -16.25691,  time: 721.809
pressure: 998.1959, temp: -16.9991,  time: 736.513
pressure: 998.4194, temp: -17.76438,  time: 751.167
pressure: 998.5097, temp: -18.46981,  time: 765.888
pressure: 998.3041, temp: -19.1982,  time: 780.655
pressure: 998.5234, temp: -19.94975,  time: 795.355
pressure: 998.3965, temp: -20.61978,  time: 810.169
pressure: 998.6928, temp: -21.31272,  time: 825.093
pressure: 998.6099, temp: -21.94439,  time: 840.124
pressure: 998.9055, temp: -22.61999,  time: 855.169
pressure: 998.4131, temp: -23.08555,  time: 870.21
pressure: 998.6387, temp: -23.552,  time: 885.303
pressure: 998.3089, temp: -23.9343,  time: 900.377
pressure: 998.4564, temp: -24.31719,  time: 915.472
pressure: 998.9313, temp: -24.65804,  time: 930.543
pressure: 998.7209, temp: -24.97801,  time: 945.594
pressure: 998.8412, temp: -25.25565,  time: 960.719
pressure: 998.8566, temp: -25.46943,  time: 975.755
pressure: 998.9167, temp: -25.66199,  time: 990.829
pressure: 998.54, temp: -25.83327,  time: 1005.894
pressure: 998.4034, temp: -26.00468,  time: 1020.959
pressure: 998.6016, temp: -26.13331,  time: 1036.008
pressure: 998.3639, temp: -26.24055,  time: 1051.147
pressure: 998.5606, temp: -26.3693,  time: 1066.191
pressure: 998.7561, temp: -26.49812,  time: 1081.266
pressure: 998.5648, temp: -26.58403,  time: 1096.328
pressure: 998.5664, temp: -26.69147,  time: 1111.403
pressure: 998.4224, temp: -26.75595,  time: 1126.53
pressure: 998.4228, temp: -26.86346,  time: 1141.62
pressure: 998.808, temp: -26.90648,  time: 1156.721
pressure: 998.6636, temp: -26.97101,  time: 1171.881
pressure: 998.5669, temp: -27.01405,  time: 1187.03
pressure: 998.4222, temp: -27.07861,  time: 1202.111
pressure: 998.3741, temp: -27.10014,  time: 1217.146
pressure: 998.71, temp: -27.16472,  time: 1232.155
pressure: 998.3727, temp: -27.20779,  time: 1247.231
pressure: 998.5162, temp: -27.25087,  time: 1262.244
pressure: 998.4194, temp: -27.29395,  time: 1277.254
pressure: 998.5144, temp: -27.35858,  time: 1292.345
pressure: 998.4659, temp: -27.38013,  time: 1307.318
pressure: 998.6575, temp: -27.40168,  time: 1322.313
pressure: 998.6089, temp: -27.42324,  time: 1337.346
pressure: 998.32, temp: -27.44479,  time: 1352.361
pressure: 998.5119, temp: -27.46635,  time: 1367.432
pressure: 998.4146, temp: -27.50947,  time: 1382.469
pressure: 998.3658, temp: -27.53103,  time: 1397.511
pressure: 998.5574, temp: -27.55259,  time: 1412.561
pressure: 998.5087, temp: -27.57416,  time: 1427.615
pressure: 998.5087, temp: -27.57416,  time: 1442.703
pressure: 998.46, temp: -27.59573,  time: 1457.734
pressure: 998.7491, temp: -27.57416,  time: 1472.791
pressure: 998.46, temp: -27.59573,  time: 1487.803
pressure: 998.4111, temp: -27.61729,  time: 1502.863
pressure: 998.4111, temp: -27.61729,  time: 1517.905
pressure: 998.6514, temp: -27.61729,  time: 1533.031
pressure: 998.46, temp: -27.59573,  time: 1548.05
pressure: 998.4111, temp: -27.61729,  time: 1563.078
pressure: 998.1219, temp: -27.63887,  time: 1578.117
pressure: 998.46, temp: -27.59573,  time: 1593.167
pressure: 998.6514, temp: -27.61729,  time: 1608.27
pressure: 998.2197, temp: -27.59573,  time: 1623.324
pressure: 998.4111, temp: -27.61729,  time: 1638.391
pressure: 998.4111, temp: -27.61729,  time: 1653.454
pressure: 998.3622, temp: -27.63887,  time: 1668.559
pressure: 998.4111, temp: -27.61729,  time: 1683.691
pressure: 998.171, temp: -27.61729,  time: 1698.768
pressure: 998.9406, temp: -27.59573,  time: 1713.849
pressure: 998.6514, temp: -27.61729,  time: 1728.939
pressure: 998.6514, temp: -27.61729,  time: 1744.007
pressure: 998.6514, temp: -27.61729,  time: 1759.103
pressure: 998.3622, temp: -27.63887,  time: 1774.274
pressure: 998.8917, temp: -27.61729,  time: 1789.33
pressure: 998.6025, temp: -27.63887,  time: 1804.378
pressure: 998.7003, temp: -27.59573,  time: 1819.45
pressure: 998.6025, temp: -27.63887,  time: 1834.538
pressure: 998.8428, temp: -27.63887,  time: 1849.666
pressure: 998.4111, temp: -27.61729,  time: 1864.743
pressure: 998.6514, temp: -27.61729,  time: 1879.825
pressure: 998.6514, temp: -27.61729,  time: 1894.914
pressure: 998.3622, temp: -27.63887,  time: 1910.008
pressure: 998.3622, temp: -27.63887,  time: 1925.184
pressure: 998.3134, temp: -27.66044,  time: 1940.297
pressure: 998.6025, temp: -27.63887,  time: 1955.4
pressure: 998.8428, temp: -27.63887,  time: 1970.511
pressure: 998.5538, temp: -27.66044,  time: 1985.613
pressure: 998.6025, temp: -27.63887,  time: 2000.708
pressure: 998.46, temp: -27.59573,  time: 2015.906
pressure: 998.4111, temp: -27.61729,  time: 2030.991
pressure: 998.4111, temp: -27.61729,  time: 2046.092
pressure: 998.8917, temp: -27.61729,  time: 2061.167
pressure: 999.1809, temp: -27.59573,  time: 2076.276
pressure: 998.8917, temp: -27.61729,  time: 2091.431
pressure: 998.6514, temp: -27.61729,  time: 2106.549
pressure: 998.4111, temp: -27.61729,  time: 2121.652
pressure: 998.6025, temp: -27.63887,  time: 2136.797
pressure: 998.3622, temp: -27.63887,  time: 2151.93
pressure: 998.6025, temp: -27.63887,  time: 2167.119
pressure: 998.1219, temp: -27.63887,  time: 2182.274
pressure: 998.1219, temp: -27.63887,  time: 2197.422
pressure: 998.8428, temp: -27.63887,  time: 2212.555
pressure: 998.6514, temp: -27.61729,  time: 2227.708
pressure: 998.6025, temp: -27.63887,  time: 2242.838
pressure: 998.5538, temp: -27.66044,  time: 2258.07
pressure: 998.5538, temp: -27.66044,  time: 2273.2
pressure: 998.5051, temp: -27.68201,  time: 2288.326
pressure: 998.7939, temp: -27.66044,  time: 2303.443
pressure: 998.3134, temp: -27.66044,  time: 2318.568
pressure: 998.3134, temp: -27.66044,  time: 2333.74
pressure: 998.5538, temp: -27.66044,  time: 2348.921
pressure: 998.7939, temp: -27.66044,  time: 2364.042
pressure: 998.3622, temp: -27.63887,  time: 2379.252
pressure: 998.6025, temp: -27.63887,  time: 2394.354
pressure: 998.8428, temp: -27.63887,  time: 2409.509
pressure: 998.6025, temp: -27.63887,  time: 2424.615
pressure: 999.0342, temp: -27.66044,  time: 2439.78
pressure: 998.5538, temp: -27.66044,  time: 2454.86
pressure: 998.3134, temp: -27.66044,  time: 2469.942
pressure: 998.7939, temp: -27.66044,  time: 2485.033
pressure: 998.6025, temp: -27.63887,  time: 2500.174
pressure: 998.7453, temp: -27.68201,  time: 2515.252
pressure: 998.6025, temp: -27.63887,  time: 2530.321
pressure: 998.3134, temp: -27.66044,  time: 2545.405
pressure: 998.6514, temp: -27.61729,  time: 2560.473
pressure: 998.3622, temp: -27.63887,  time: 2575.574
pressure: 998.6025, temp: -27.63887,  time: 2590.662
pressure: 998.3622, temp: -27.63887,  time: 2605.758
pressure: 998.4111, temp: -27.61729,  time: 2620.842
pressure: 998.6025, temp: -27.63887,  time: 2635.937
pressure: 998.46, temp: -27.59573,  time: 2651.09
pressure: 998.6514, temp: -27.61729,  time: 2666.168
pressure: 998.6025, temp: -27.63887,  time: 2681.326
pressure: 998.7003, temp: -27.59573,  time: 2696.454
pressure: 998.2684, temp: -27.57416,  time: 2711.57
pressure: 998.5087, temp: -27.57416,  time: 2726.667
pressure: 998.46, temp: -27.59573,  time: 2741.863
pressure: 998.5087, temp: -27.57416,  time: 2756.938
pressure: 998.7977, temp: -27.55259,  time: 2772.062
pressure: 998.5574, temp: -27.55259,  time: 2787.18
pressure: 998.7003, temp: -27.59573,  time: 2802.288
pressure: 998.46, temp: -27.59573,  time: 2817.424
pressure: 998.9406, temp: -27.59573,  time: 2832.527
pressure: 998.2684, temp: -27.57416,  time: 2847.637
pressure: 998.5087, temp: -27.57416,  time: 2862.761
pressure: 998.5087, temp: -27.57416,  time: 2877.876
pressure: 998.9894, temp: -27.57416,  time: 2893.061
pressure: 998.6061, temp: -27.53103,  time: 2908.188
pressure: 998.317, temp: -27.55259,  time: 2923.337
pressure: 998.5087, temp: -27.57416,  time: 2938.499
pressure: 998.5087, temp: -27.57416,  time: 2953.652
pressure: 999.038, temp: -27.55259,  time: 2968.783
pressure: 998.317, temp: -27.55259,  time: 2984.011
pressure: 998.5574, temp: -27.55259,  time: 2999.125
pressure: 998.0767, temp: -27.55259,  time: 3014.244
pressure: 998.3658, temp: -27.53103,  time: 3029.413
pressure: 998.8464, temp: -27.53103,  time: 3044.552
pressure: 998.6061, temp: -27.53103,  time: 3059.734
pressure: 998.6548, temp: -27.50947,  time: 3074.854
pressure: 998.6548, temp: -27.50947,  time: 3089.992
pressure: 998.6061, temp: -27.53103,  time: 3105.143
pressure: 998.6061, temp: -27.53103,  time: 3120.289
pressure: 998.5574, temp: -27.55259,  time: 3135.495
pressure: 998.7977, temp: -27.55259,  time: 3150.645
pressure: 998.6061, temp: -27.53103,  time: 3165.823
pressure: 998.7977, temp: -27.55259,  time: 3181.002
pressure: 998.7977, temp: -27.55259,  time: 3196.192
pressure: 998.6061, temp: -27.53103,  time: 3211.358
pressure: 998.6061, temp: -27.53103,  time: 3226.597
pressure: 998.5574, temp: -27.55259,  time: 3241.776
pressure: 998.6548, temp: -27.50947,  time: 3256.912
pressure: 999.1356, temp: -27.50947,  time: 3272.085
pressure: 998.3658, temp: -27.53103,  time: 3287.258
pressure: 998.1255, temp: -27.53103,  time: 3302.475
pressure: 998.8951, temp: -27.50947,  time: 3317.621
pressure: 998.4146, temp: -27.50947,  time: 3332.78
pressure: 998.6548, temp: -27.50947,  time: 3347.962
pressure: 998.8951, temp: -27.50947,  time: 3363.139
pressure: 998.7034, temp: -27.48791,  time: 3378.362
pressure: 999.327, temp: -27.53103,  time: 3393.553
pressure: 998.8464, temp: -27.53103,  time: 3408.754
pressure: 998.8464, temp: -27.53103,  time: 3423.97
pressure: 998.8464, temp: -27.53103,  time: 3439.208
pressure: 998.8951, temp: -27.50947,  time: 3454.422
pressure: 998.8951, temp: -27.50947,  time: 3469.695
pressure: 998.9437, temp: -27.48791,  time: 3484.887
pressure: 998.6548, temp: -27.50947,  time: 3500.078
pressure: 999.3759, temp: -27.50947,  time: 3515.256
pressure: 998.6548, temp: -27.50947,  time: 3530.553
pressure: 998.8464, temp: -27.53103,  time: 3545.761
pressure: 998.8464, temp: -27.53103,  time: 3560.925
pressure: 998.6061, temp: -27.53103,  time: 3576.098
pressure: 998.9437, temp: -27.48791,  time: 3591.238
pressure: 998.3658, temp: -27.53103,  time: 3606.393
pressure: 998.6548, temp: -27.50947,  time: 3621.577
pressure: 998.8464, temp: -27.53103,  time: 3636.764
pressure: 998.6061, temp: -27.53103,  time: 3651.9
pressure: 998.8951, temp: -27.50947,  time: 3667.042
pressure: 998.6061, temp: -27.53103,  time: 3682.224
pressure: 998.8464, temp: -27.53103,  time: 3697.397
pressure: 998.6061, temp: -27.53103,  time: 3712.626
pressure: 998.6061, temp: -27.53103,  time: 3727.751
