pressure: 1015.205, temp: 22.44309,  time: 13.427
pressure: 1017.748, temp: 22.51098,  time: 26.932
pressure: 1017.448, temp: 22.49401,  time: 42.029
pressure: 1017.479, temp: 22.51098,  time: 57.178
pressure: 1017.479, temp: 22.51098,  time: 72.295
pressure: 1018.17, temp: 22.59585,  time: 87.413
pressure: 1018.231, temp: 22.6298,  time: 102.538
pressure: 1018.623, temp: 22.69769,  time: 117.726
pressure: 1018.177, temp: 22.74861,  time: 132.892
pressure: 1018.177, temp: 22.74861,  time: 148.043
pressure: 1018.262, temp: 22.64677,  time: 163.17
pressure: 1018.341, temp: 22.39217,  time: 178.332
pressure: 1018.68, temp: 21.98481,  time: 193.477
pressure: 1018.234, temp: 21.44167,  time: 208.624
pressure: 1018.315, temp: 20.74576,  time: 223.774
pressure: 1018.681, temp: 19.91405,  time: 238.946
pressure: 1018.407, temp: 19.02848,  time: 254.061
pressure: 1018.497, temp: 18.05207,  time: 269.199
pressure: 1018.005, temp: 17.05243,  time: 284.347
pressure: 1018.101, temp: 15.94223,  time: 299.537
pressure: 1018.374, temp: 14.78948,  time: 314.69
pressure: 1018.654, temp: 13.6464,  time: 329.876
pressure: 1018.843, temp: 12.46005,  time: 345.05
pressure: 1018.447, temp: 11.24759,  time: 360.245
pressure: 1018.517, temp: 10.00864,  time: 375.399
pressure: 1018.559, temp: 8.760975,  time: 390.577
pressure: 1018.641, temp: 7.541133,  time: 405.739
pressure: 1018.437, temp: 6.313072,  time: 420.927
pressure: 1018.138, temp: 5.03976,  time: 436.075
pressure: 1018.434, temp: 3.813652,  time: 451.246
pressure: 1018.515, temp: 2.617083,  time: 466.411
pressure: 1018.127, temp: 1.450753,  time: 481.629
pressure: 1018.124, temp: 0.220432,  time: 496.794
pressure: 1018.459, temp: -0.9603148,  time: 512.005
pressure: 1018.112, temp: -2.090465,  time: 527.205
pressure: 1018.254, temp: -3.22699,  time: 542.431
pressure: 1018.268, temp: -4.2922,  time: 557.618
pressure: 1017.898, temp: -5.421515,  time: 572.791
pressure: 1017.948, temp: -6.45886,  time: 587.987
pressure: 1018.308, temp: -7.461918,  time: 603.21
pressure: 1018.032, temp: -8.529167,  time: 618.379
pressure: 1018.182, temp: -9.502222,  time: 633.55
pressure: 1017.928, temp: -10.4197,  time: 648.776
pressure: 1017.873, temp: -11.36113,  time: 663.995
pressure: 1017.671, temp: -12.24613,  time: 679.226
pressure: 1017.956, temp: -13.13467,  time: 694.437
pressure: 1017.808, temp: -13.98613,  time: 709.637
pressure: 1018.185, temp: -14.82044,  time: 724.837
pressure: 1018.093, temp: -15.63736,  time: 739.991
pressure: 1017.902, temp: -16.3751,  time: 755.126
