pressure: 1018.813, temp: 22.95229,  time: 14.305
pressure: 1018.667, temp: 23.02018,  time: 28.492
pressure: 1018.428, temp: 23.03715,  time: 42.693
pressure: 1018.459, temp: 23.05413,  time: 56.897
pressure: 1018.52, temp: 23.08807,  time: 71.165
pressure: 1018.789, temp: 23.08807,  time: 85.431
pressure: 1018.697, temp: 23.03715,  time: 99.65
pressure: 1018.483, temp: 22.91834,  time: 113.932
pressure: 1018.984, temp: 22.74861,  time: 128.212
pressure: 1018.463, temp: 22.46006,  time: 142.607
pressure: 1018.656, temp: 22.1206,  time: 156.932
pressure: 1018.634, temp: 21.66232,  time: 171.357
pressure: 1018.755, temp: 21.13615,  time: 185.732
pressure: 1018.922, temp: 20.93247,  time: 200.118
pressure: 1018.623, temp: 20.91549,  time: 214.518
pressure: 1018.992, temp: 21.11917,  time: 228.922
pressure: 1018.388, temp: 21.52653,  time: 243.373
pressure: 1018.503, temp: 22.03573,  time: 257.809
pressure: 1018.715, temp: 22.74861,  time: 272.221
pressure: 1018.476, temp: 23.51241,  time: 286.631
pressure: 1018.594, temp: 24.32712,  time: 301.104
pressure: 1019.16, temp: 25.24368,  time: 315.53
pressure: 1018.76, temp: 26.22813,  time: 329.992
pressure: 1018.622, temp: 27.21258,  time: 344.45
pressure: 1018.295, temp: 28.24795,  time: 358.895
pressure: 1018.291, temp: 29.31726,  time: 373.401
pressure: 1018.582, temp: 30.40355,  time: 387.851
pressure: 1018.318, temp: 31.48984,  time: 402.398
pressure: 1018.563, temp: 32.55915,  time: 416.891
pressure: 1018.37, temp: 33.69637,  time: 431.351
pressure: 1018.718, temp: 34.83357,  time: 445.864
pressure: 1018.169, temp: 35.93684,  time: 460.374
pressure: 1018.499, temp: 37.07405,  time: 474.844
pressure: 1018.018, temp: 38.22823,  time: 489.413
pressure: 1018.841, temp: 39.17873,  time: 503.933
pressure: 1018.736, temp: 40.07831,  time: 518.408
pressure: 1018.711, temp: 40.70632,  time: 532.945
pressure: 1018.55, temp: 41.09671,  time: 547.474
pressure: 1018.536, temp: 41.24947,  time: 562.05
pressure: 1018.447, temp: 41.19855,  time: 576.625
pressure: 1018.873, temp: 40.96092,  time: 591.143
pressure: 1018.504, temp: 40.58751,  time: 605.729
pressure: 1018.338, temp: 40.01042,  time: 620.274
pressure: 1018.242, temp: 39.31452,  time: 634.878
pressure: 1018.243, temp: 38.51677,  time: 649.423
pressure: 1017.973, temp: 37.56627,  time: 663.978
pressure: 1018.073, temp: 36.51393,  time: 678.59
pressure: 1018.351, temp: 35.41066,  time: 693.161
pressure: 1018.224, temp: 34.23951,  time: 707.741
pressure: 1018.123, temp: 32.93257,  time: 722.36
pressure: 1018.224, temp: 31.59168,  time: 736.942
pressure: 1018.19, temp: 30.1829,  time: 751.574
pressure: 1018.688, temp: 28.77412,  time: 766.201
pressure: 1018.26, temp: 27.31442,  time: 780.78
pressure: 1018.453, temp: 25.90563,  time: 795.435
pressure: 1018.537, temp: 24.44593,  time: 810.08
pressure: 1019.113, temp: 22.96926,  time: 824.787
pressure: 1018.771, temp: 21.44167,  time: 839.807
pressure: 1018.352, temp: 19.88008,  time: 854.944
pressure: 1018.949, temp: 18.44678,  time: 870.03
pressure: 1018.316, temp: 16.93137,  time: 885.144
pressure: 1019.095, temp: 15.47161,  time: 900.179
pressure: 1018.774, temp: 13.99894,  time: 915.304
pressure: 1018.776, temp: 12.56662,  time: 930.326
pressure: 1019.266, temp: 11.12229,  time: 945.432
pressure: 1018.507, temp: 9.720102,  time: 960.515
pressure: 1018.794, temp: 8.324963,  time: 975.65
pressure: 1018.662, temp: 6.99227,  time: 990.696
pressure: 1018.792, temp: 5.668278,  time: 1005.819
pressure: 1018.737, temp: 4.390545,  time: 1020.864
pressure: 1018.654, temp: 3.104094,  time: 1036.06
pressure: 1018.649, temp: 1.865418,  time: 1051.173
pressure: 1018.397, temp: 0.6377148,  time: 1066.349
pressure: 1018.191, temp: -0.5595968,  time: 1081.398
pressure: 1018.255, temp: -1.744998,  time: 1096.552
pressure: 1018.658, temp: -2.879577,  time: 1111.658
pressure: 1018.386, temp: -3.962361,  time: 1126.804
pressure: 1018.059, temp: -5.070378,  time: 1141.85
pressure: 1018.152, temp: -6.08639,  time: 1157.027
pressure: 1017.507, temp: -7.087673,  time: 1172.081
pressure: 1018.148, temp: -8.073947,  time: 1187.337
pressure: 1018.09, temp: -9.025076,  time: 1202.416
pressure: 1018.367, temp: -10.06023,  time: 1217.498
pressure: 1018.182, temp: -10.93999,  time: 1232.504
pressure: 1017.946, temp: -11.84341,  time: 1247.573
pressure: 1018.198, temp: -12.75054,  time: 1262.566
pressure: 1017.805, temp: -13.60055,  time: 1277.707
pressure: 1017.729, temp: -14.41308,  time: 1292.744
pressure: 1017.604, temp: -15.24896,  time: 1307.853
pressure: 1017.795, temp: -16.04692,  time: 1322.874
pressure: 1017.807, temp: -16.80654,  time: 1337.983
pressure: 1017.811, temp: -17.56866,  time: 1353.02
pressure: 1018.092, temp: -18.3126,  time: 1368.121
pressure: 1018.198, temp: -19.01738,  time: 1383.105
pressure: 1018.286, temp: -19.72428,  time: 1398.231
pressure: 1018.312, temp: -20.32889,  time: 1411.677
pressure: 1018.076, temp: -20.93505,  time: 1425.183
pressure: 1017.939, temp: -21.6057,  time: 1440.215
pressure: 1018.042, temp: -22.15198,  time: 1453.77
pressure: 1018.132, temp: -22.6995,  time: 1467.178
pressure: 1017.873, temp: -23.29052,  time: 1480.706
pressure: 1018.157, temp: -23.73473,  time: 1494.167
pressure: 1017.898, temp: -24.20095,  time: 1509.252
pressure: 1018.101, temp: -24.56183,  time: 1522.815
pressure: 1018.145, temp: -24.88068,  time: 1536.296
pressure: 1017.699, temp: -25.19995,  time: 1551.38
pressure: 1018.36, temp: -25.45567,  time: 1566.52
pressure: 1017.802, temp: -25.71164,  time: 1581.654
pressure: 1018.111, temp: -25.90379,  time: 1596.731
pressure: 1018.269, temp: -26.05335,  time: 1610.307
pressure: 1017.846, temp: -26.24577,  time: 1623.799
pressure: 1018.001, temp: -26.39553,  time: 1638.851
pressure: 1018.155, temp: -26.54538,  time: 1653.959
pressure: 1018.113, temp: -26.6739,  time: 1669.025
pressure: 1017.828, temp: -26.80248,  time: 1684.152
pressure: 1017.928, temp: -26.86679,  time: 1697.669
pressure: 1017.689, temp: -26.97402,  time: 1711.165
pressure: 1018.468, temp: -27.05984,  time: 1724.666
pressure: 1017.792, temp: -27.14568,  time: 1738.215
pressure: 1017.6, temp: -27.23156,  time: 1753.265
pressure: 1018.473, temp: -27.27451,  time: 1768.463
pressure: 1017.844, temp: -27.33894,  time: 1783.532
