pressure: 1012.267, temp: 22.54876,  time: 3.534
pressure: 1012.896, temp: 22.59992,  time: 16.269
pressure: 1012.752, temp: 22.95809,  time: 28.953
pressure: 1012.715, temp: 23.52093,  time: 41.637
pressure: 1013.145, temp: 24.3396,  time: 54.342
pressure: 1013.521, temp: 25.27766,  time: 67.102
pressure: 1013.187, temp: 26.42039,  time: 79.808
pressure: 1013.267, temp: 27.6484,  time: 92.52
pressure: 1013.459, temp: 28.94463,  time: 105.35
pressure: 1012.917, temp: 30.29203,  time: 118.078
pressure: 1013.144, temp: 31.62237,  time: 130.849
pressure: 1012.996, temp: 33.05504,  time: 143.714
pressure: 1012.862, temp: 34.50478,  time: 156.653
pressure: 1013.11, temp: 35.86923,  time: 169.49
pressure: 1013.129, temp: 37.26779,  time: 182.337
pressure: 1013.073, temp: 38.63225,  time: 195.238
pressure: 1013.528, temp: 39.97964,  time: 208.094
pressure: 1013.325, temp: 41.27588,  time: 221.066
pressure: 1013.327, temp: 42.53799,  time: 233.95
pressure: 1012.917, temp: 43.73189,  time: 246.94
pressure: 1013.426, temp: 44.97695,  time: 259.935
pressure: 1013.496, temp: 46.13674,  time: 272.906
pressure: 1013.052, temp: 47.33064,  time: 285.997
pressure: 1013.325, temp: 48.45631,  time: 298.973
pressure: 1013.187, temp: 49.51376,  time: 311.952
pressure: 1013.385, temp: 50.60532,  time: 324.999
pressure: 1013.455, temp: 51.62866,  time: 338.046
pressure: 1013.205, temp: 52.63494,  time: 351.081
pressure: 1013.429, temp: 53.59007,  time: 364.152
pressure: 1013.56, temp: 54.49401,  time: 377.193
pressure: 1013.112, temp: 55.39796,  time: 390.22
pressure: 1013.6, temp: 56.18253,  time: 401.699
pressure: 1013.915, temp: 57.03531,  time: 414.727
pressure: 1013.621, temp: 57.87104,  time: 427.815
pressure: 1013.46, temp: 58.45093,  time: 440.848
pressure: 1013.813, temp: 58.82615,  time: 453.889
pressure: 1013.21, temp: 58.97965,  time: 466.938
pressure: 1013.411, temp: 58.92849,  time: 480.048
pressure: 1013.522, temp: 58.65559,  time: 493.113
