pressure: 1016.074, temp: 22.48716,  time: 9.142
pressure: 1015.616, temp: 22.52232,  time: 21.877
pressure: 1016.106, temp: 22.50474,  time: 34.563
pressure: 1016.138, temp: 22.52232,  time: 47.258
pressure: 1015.552, temp: 22.48716,  time: 59.964
pressure: 1015.616, temp: 22.52232,  time: 72.723
pressure: 1016.006, temp: 22.59267,  time: 85.433
pressure: 1015.809, temp: 22.62783,  time: 98.2
pressure: 1015.905, temp: 22.68059,  time: 110.931
pressure: 1015.709, temp: 22.71576,  time: 123.767
pressure: 1015.902, temp: 22.82127,  time: 136.532
pressure: 1015.801, temp: 22.90919,  time: 149.427
pressure: 1015.797, temp: 23.04987,  time: 162.271
pressure: 1015.499, temp: 23.17296,  time: 175.165
pressure: 1015.495, temp: 23.31364,  time: 188.003
pressure: 1015.784, temp: 23.47191,  time: 200.923
pressure: 1015.876, temp: 23.66534,  time: 213.772
pressure: 1015.705, temp: 23.85877,  time: 226.777
pressure: 1015.535, temp: 24.05221,  time: 239.765
pressure: 1015.823, temp: 24.21047,  time: 252.754
pressure: 1015.716, temp: 24.43907,  time: 265.732
pressure: 1015.544, temp: 24.63251,  time: 278.701
pressure: 1015.928, temp: 24.84352,  time: 291.735
pressure: 1015.295, temp: 25.07213,  time: 304.717
pressure: 1015.711, temp: 25.30073,  time: 317.761
pressure: 1015.338, temp: 25.52933,  time: 330.745
pressure: 1015.26, temp: 25.77552,  time: 343.791
pressure: 1015.412, temp: 26.00412,  time: 356.871
pressure: 1015.86, temp: 26.25031,  time: 369.909
pressure: 1015.485, temp: 26.47891,  time: 382.933
pressure: 1015.963, temp: 26.74269,  time: 395.968
pressure: 1015.492, temp: 26.91854,  time: 407.443
pressure: 1015.706, temp: 27.18231,  time: 420.529
pressure: 1015.656, temp: 27.44608,  time: 433.615
pressure: 1015.87, temp: 27.70985,  time: 446.648
pressure: 1015.724, temp: 27.92087,  time: 459.699
pressure: 1015.641, temp: 28.16706,  time: 472.749
pressure: 1015.79, temp: 28.39566,  time: 485.812
pressure: 1016.203, temp: 28.62427,  time: 498.975
pressure: 1016.023, temp: 28.8177,  time: 512.041
pressure: 1015.452, temp: 28.94079,  time: 525.084
pressure: 1015.737, temp: 29.09905,  time: 538.135
pressure: 1016.055, temp: 29.2749,  time: 551.249
pressure: 1015.948, temp: 29.36283,  time: 564.321
pressure: 1015.937, temp: 29.50351,  time: 577.431
pressure: 1015.534, temp: 29.57384,  time: 590.541
pressure: 1015.693, temp: 29.66177,  time: 603.616
pressure: 1015.523, temp: 29.71452,  time: 616.692
pressure: 1015.883, temp: 29.76728,  time: 629.825
pressure: 1015.448, temp: 29.82003,  time: 642.946
