pressure: 1012.59, temp: 27.6632
pressure: 1012.25, temp: 27.6284
pressure: 1013.0, temp: 23.8659
pressure: 1013.77, temp: 23.8485
pressure: 1014.25, temp: 23.8136
pressure: 1013.95, temp: 23.7962
pressure: 1013.85, temp: 23.744
pressure: 1013.76, temp: 23.6917
pressure: 1013.87, temp: 23.6046
pressure: 1013.88, temp: 23.4652
pressure: 1014.07, temp: 23.2736
pressure: 1013.99, temp: 23.082
pressure: 1014.02, temp: 22.8033
pressure: 1013.71, temp: 22.4898
pressure: 1013.95, temp: 22.1763
pressure: 1013.61, temp: 21.8453
pressure: 1013.95, temp: 21.4447
pressure: 1013.78, temp: 21.0615
pressure: 1013.98, temp: 20.5911
pressure: 1013.62, temp: 20.1034
pressure: 1014.09, temp: 19.6327
pressure: 1013.89, temp: 19.0906
pressure: 1013.99, temp: 18.5644
pressure: 1014.04, temp: 18.0189
pressure: 1013.76, temp: 17.4362
pressure: 1014.31, temp: 16.8693
pressure: 1014.05, temp: 16.3006
pressure: 1013.91, temp: 15.6584
pressure: 1013.84, temp: 15.0498
pressure: 1013.73, temp: 14.4211
pressure: 1013.9, temp: 13.8082
pressure: 1014.07, temp: 13.1932
pressure: 1013.74, temp: 12.5942
pressure: 1013.93, temp: 11.9932
pressure: 1013.58, temp: 11.3903
pressure: 1014.02, temp: 10.7853
pressure: 1013.66, temp: 10.1784
pressure: 1013.86, temp: 9.58794
pressure: 1013.49, temp: 8.97708
pressure: 1013.7, temp: 8.40141
pressure: 1013.84, temp: 7.78668
pressure: 1014.05, temp: 7.20738
pressure: 1013.77, temp: 6.51366
pressure: 1013.74, temp: 5.81744
pressure: 1014.26, temp: 5.26999
pressure: 1013.8, temp: 4.75892
pressure: 1013.78, temp: 4.2085
pressure: 1014.02, temp: 3.78992
pressure: 1013.58, temp: 3.56122
pressure: 1013.88, temp: 3.44678
pressure: 1013.95, temp: 3.35135
pressure: 1013.88, temp: 3.31318
pressure: 1013.84, temp: 3.29408
pressure: 1013.84, temp: 3.4277
pressure: 1013.84, temp: 3.56122
pressure: 1014.06, temp: 3.54215
pressure: 1013.85, temp: 3.16038
pressure: 1014.14, temp: 2.64382
pressure: 1014.29, temp: 2.31789
pressure: 1014.37, temp: 2.08751
pressure: 1014.55, temp: 1.91454
pressure: 1014.95, temp: 1.72219
pressure: 1014.87, temp: 1.54891
pressure: 1016.56, temp: 1.35621
pressure: 1016.55, temp: 1.22122
pressure: 1016.81, temp: 1.08612
pressure: 1017.57, temp: 0.950947
pressure: 1018.63, temp: 0.835004
pressure: 1019.69, temp: 0.719
pressure: 1020.01, temp: 0.622278
pressure: 1021.36, temp: 0.52551
pressure: 1023.01, temp: 0.448066
pressure: 1025.12, temp: 0.351216
pressure: 1027.31, temp: 0.293085
pressure: 1030.53, temp: 0.234937
pressure: 1032.72, temp: 0.176773
pressure: 1036.19, temp: 0.118587
pressure: 1039.19, temp: 0.0797946
pressure: 1042.18, temp: 0.0409894
pressure: 1045.39, temp: -0.0172296
pressure: 1049.67, temp: -0.0560532
pressure: 1052.95, temp: -0.0754651
pressure: 1057.44, temp: -0.133717
pressure: 1062.48, temp: -0.172563
pressure: 1065.51, temp: -0.191991
pressure: 1068.84, temp: -0.191991
pressure: 1046.0, temp: -0.094884
pressure: 1019.43, temp: -0.0754651
pressure: 1015.55, temp: -0.094884
pressure: 1017.31, temp: -0.1143
pressure: 1019.39, temp: -0.094884
pressure: 1029.63, temp: -0.094884
pressure: 1037.09, temp: -0.0754651
pressure: 1045.79, temp: -0.0754651
pressure: 1055.73, temp: -0.094884
pressure: 1060.08, temp: -0.094884
pressure: 1071.08, temp: -0.094884
pressure: 1052.44, temp: -0.0754651
pressure: 1070.1, temp: -0.0754651
pressure: 1083.92, temp: -0.0754651
pressure: 1031.5, temp: -0.0560532
pressure: 1052.48, temp: -0.0560532
pressure: 1071.93, temp: -0.0560532
pressure: 1038.92, temp: -0.0560532
pressure: 1065.02, temp: -0.0560532
pressure: 1085.97, temp: -0.0754651
pressure: 1099.53, temp: -0.0754651
pressure: 1104.61, temp: -0.094884
pressure: 1124.31, temp: -0.094884
pressure: 1119.45, temp: -0.094884
pressure: 1134.29, temp: -0.094884
pressure: 1151.39, temp: -0.1143
pressure: 1025.1, temp: -0.0560532
pressure: 1043.74, temp: -0.0754651
pressure: 1092.07, temp: -0.094884
pressure: 1126.32, temp: -0.1143
pressure: 1154.93, temp: -0.133717
pressure: 1027.15, temp: -0.0560532
pressure: 1038.66, temp: -0.0560532
pressure: 1037.38, temp: -0.0560532
pressure: 1042.97, temp: -0.0754651
pressure: 1056.54, temp: -0.0754651
pressure: 1034.06, temp: -0.0560532
pressure: 1042.72, temp: -0.0754651
pressure: 1045.53, temp: -0.0754651
pressure: 1043.74, temp: -0.0754651
pressure: 1046.3, temp: -0.0754651
pressure: 1037.34, temp: -0.0754651
pressure: 1051.89, temp: -0.094884
pressure: 1056.28, temp: -0.0754651
pressure: 1047.84, temp: -0.0754651
pressure: 1062.89, temp: -0.094884
pressure: 1040.93, temp: -0.0754651
pressure: 1054.45, temp: -0.094884
pressure: 1051.67, temp: -0.0754651
pressure: 1037.34, temp: -0.0754651
pressure: 1030.18, temp: -0.0754651
pressure: 1035.04, temp: -0.0754651
pressure: 1041.4, temp: -0.094884
pressure: 1113.52, temp: -0.1143
pressure: 1210.92, temp: -0.153141
pressure: 1297.26, temp: -0.211415
pressure: 1369.35, temp: -0.230842
pressure: 1407.67, temp: -0.250275
pressure: 1040.63, temp: -0.094884
pressure: 1040.89, temp: -0.094884
pressure: 1049.84, temp: -0.094884
pressure: 1057.26, temp: -0.094884
pressure: 1057.52, temp: -0.094884
