pressure: 1008.316, temp: 20.8476,  time: 14.252
pressure: 1008.645, temp: 20.88155,  time: 28.433
pressure: 1008.438, temp: 20.91549,  time: 42.626
pressure: 1008.438, temp: 20.91549,  time: 56.873
pressure: 1008.468, temp: 20.93247,  time: 71.074
pressure: 1008.498, temp: 20.94944,  time: 85.328
pressure: 1008.321, temp: 21.00036,  time: 99.539
pressure: 1008.589, temp: 21.00036,  time: 113.804
pressure: 1008.918, temp: 21.03431,  time: 128.076
pressure: 1008.114, temp: 21.03431,  time: 142.344
pressure: 1008.412, temp: 21.05128,  time: 156.77
pressure: 1008.443, temp: 21.06825,  time: 171.123
pressure: 1008.205, temp: 21.08523,  time: 185.534
pressure: 1008.503, temp: 21.1022,  time: 199.938
pressure: 1008.802, temp: 21.11917,  time: 214.302
pressure: 1008.296, temp: 21.13615,  time: 228.674
pressure: 1008.863, temp: 21.15312,  time: 243.043
pressure: 1008.893, temp: 21.1701,  time: 257.435
pressure: 1008.686, temp: 21.20404,  time: 271.924
pressure: 1009.551, temp: 21.23799,  time: 286.31
pressure: 1009.076, temp: 21.27193,  time: 300.709
pressure: 1009.076, temp: 21.27193,  time: 315.103
pressure: 1008.716, temp: 21.22102,  time: 329.549
pressure: 1008.741, temp: 21.08523,  time: 343.986
pressure: 1009.089, temp: 20.83063,  time: 358.463
pressure: 1008.986, temp: 20.47419,  time: 372.883
pressure: 1008.907, temp: 19.98196,  time: 387.365
pressure: 1009.174, temp: 19.38671,  time: 401.841
pressure: 1008.86, temp: 18.61809,  time: 416.281
pressure: 1008.975, temp: 17.79414,  time: 430.825
pressure: 1009.124, temp: 16.84484,  time: 445.318
pressure: 1008.675, temp: 15.7158,  time: 459.758
pressure: 1008.702, temp: 14.56148,  time: 474.251
pressure: 1008.84, temp: 13.32848,  time: 488.763
pressure: 1008.916, temp: 12.06871,  time: 503.263
pressure: 1008.833, temp: 10.72793,  time: 517.769
pressure: 1008.755, temp: 9.539529,  time: 532.289
pressure: 1008.818, temp: 8.434064,  time: 546.748
pressure: 1009.221, temp: 7.376648,  time: 561.312
pressure: 1009.027, temp: 6.423383,  time: 575.858
pressure: 1008.885, temp: 5.502112,  time: 590.418
pressure: 1009.004, temp: 4.724708,  time: 604.93
pressure: 1008.923, temp: 3.981319,  time: 619.44
pressure: 1009.005, temp: 3.32845,  time: 634.007
pressure: 1008.738, temp: 2.767064,  time: 648.532
pressure: 1008.794, temp: 2.241616,  time: 663.11
pressure: 1008.47, temp: 1.79009,  time: 677.64
pressure: 1009.242, temp: 1.375265,  time: 692.179
pressure: 1008.574, temp: 1.016294,  time: 706.772
pressure: 1008.489, temp: 0.6945477,  time: 721.32
pressure: 1008.73, temp: 0.4102158,  time: 735.924
pressure: 1009.039, temp: 0.1634605,  time: 750.468
pressure: 1009.127, temp: -0.06458778,  time: 765.129
pressure: 1008.737, temp: -0.273863,  time: 779.701
pressure: 1008.744, temp: -0.4071545,  time: 794.297
pressure: 1008.644, temp: -0.5977258,  time: 808.921
pressure: 1008.431, temp: -0.7121563,  time: 823.598
pressure: 1008.658, temp: -0.8648331,  time: 838.63
pressure: 1008.515, temp: -0.9412153,  time: 853.622
pressure: 1008.628, temp: -1.017627,  time: 868.623
pressure: 1008.705, temp: -1.113182,  time: 883.676
pressure: 1009.039, temp: -1.208784,  time: 898.751
pressure: 1009.003, temp: -1.227909,  time: 913.769
pressure: 1008.384, temp: -1.285298,  time: 928.805
pressure: 1008.532, temp: -1.342702,  time: 943.829
pressure: 1008.716, temp: -1.380981,  time: 958.857
pressure: 1008.68, temp: -1.400124,  time: 973.944
pressure: 1009.156, temp: -1.419268,  time: 988.981
pressure: 1009.156, temp: -1.419268,  time: 1004.003
pressure: 1008.609, temp: -1.438414,  time: 1019.03
pressure: 1009.085, temp: -1.457561,  time: 1034.046
pressure: 1009.048, temp: -1.476712,  time: 1049.115
pressure: 1009.013, temp: -1.495862,  time: 1064.201
pressure: 1009.048, temp: -1.476712,  time: 1079.225
pressure: 1009.048, temp: -1.476712,  time: 1094.258
pressure: 1009.304, temp: -1.476712,  time: 1109.283
pressure: 1009.048, temp: -1.476712,  time: 1124.328
pressure: 1008.721, temp: -1.515016,  time: 1139.461
pressure: 1009.237, temp: -1.64914,  time: 1154.501
pressure: 1008.886, temp: -2.109675,  time: 1169.627
pressure: 1008.536, temp: -2.841013,  time: 1184.664
pressure: 1008.542, temp: -3.787956,  time: 1199.628
pressure: 1009.182, temp: -4.933987,  time: 1214.649
pressure: 1008.853, temp: -6.184346,  time: 1229.638
pressure: 1008.529, temp: -7.560513,  time: 1244.619
pressure: 1008.604, temp: -8.985359,  time: 1259.59
pressure: 1008.166, temp: -10.53966,  time: 1274.552
pressure: 1008.134, temp: -12.00441,  time: 1289.549
pressure: 1008.488, temp: -13.51946,  time: 1304.578
pressure: 1008.896, temp: -15.12644,  time: 1319.564
pressure: 1008.338, temp: -16.58045,  time: 1334.523
pressure: 1008.291, temp: -18.14707,  time: 1349.502
pressure: 1008.807, temp: -19.53695,  time: 1364.496
pressure: 1008.423, temp: -20.85135,  time: 1379.545
pressure: 1008.462, temp: -22.04683,  time: 1394.56
pressure: 1008.497, temp: -23.10039,  time: 1409.574
pressure: 1008.215, temp: -24.05252,  time: 1424.579
pressure: 1008.407, temp: -24.88068,  time: 1439.593
pressure: 1008.311, temp: -25.60495,  time: 1454.608
pressure: 1008.378, temp: -26.24577,  time: 1469.639
pressure: 1008.177, temp: -26.78104,  time: 1484.651
pressure: 1007.863, temp: -27.25303,  time: 1499.667
pressure: 1008.361, temp: -27.68288,  time: 1514.658
pressure: 1008.317, temp: -28.02728,  time: 1529.711
pressure: 1008.124, temp: -28.32903,  time: 1544.748
pressure: 1008.024, temp: -28.58794,  time: 1559.759
pressure: 1008.21, temp: -28.82552,  time: 1574.738
pressure: 1008.109, temp: -28.97682,  time: 1589.762
pressure: 1008.198, temp: -29.14985,  time: 1604.781
pressure: 1008.626, temp: -29.27969,  time: 1619.85
pressure: 1008.088, temp: -29.4096,  time: 1634.875
pressure: 1008.323, temp: -29.51791,  time: 1649.913
pressure: 1008.124, temp: -29.60459,  time: 1664.954
pressure: 1008.216, temp: -29.66962,  time: 1679.987
pressure: 1008.067, temp: -29.73466,  time: 1695.08
pressure: 1008.158, temp: -29.79972,  time: 1710.095
pressure: 1008.54, temp: -29.84311,  time: 1725.176
pressure: 1008.491, temp: -29.86481,  time: 1740.231
pressure: 1008.2, temp: -29.8865,  time: 1755.258
pressure: 1008.05, temp: -29.9516,  time: 1770.325
pressure: 1008.291, temp: -29.9516,  time: 1785.403
pressure: 1008.241, temp: -29.9733,  time: 1800.451
pressure: 1008.191, temp: -29.99501,  time: 1815.483
pressure: 1008.332, temp: -30.03843,  time: 1830.532
pressure: 1008.332, temp: -30.03843,  time: 1845.598
pressure: 1008.332, temp: -30.03843,  time: 1860.701
pressure: 1008.332, temp: -30.03843,  time: 1875.737
pressure: 1008.091, temp: -30.03843,  time: 1890.822
pressure: 1008.282, temp: -30.06014,  time: 1905.906
pressure: 1008.382, temp: -30.01672,  time: 1920.981
pressure: 1008.332, temp: -30.03843,  time: 1936.099
pressure: 1008.522, temp: -30.06014,  time: 1951.156
pressure: 1008.282, temp: -30.06014,  time: 1966.218
pressure: 1008.763, temp: -30.06014,  time: 1981.307
pressure: 1008.763, temp: -30.06014,  time: 1996.37
pressure: 1007.991, temp: -30.08185,  time: 2011.474
pressure: 1008.232, temp: -30.08185,  time: 2026.583
pressure: 1008.472, temp: -30.08185,  time: 2041.64
pressure: 1008.573, temp: -30.03843,  time: 2056.694
pressure: 1008.332, temp: -30.03843,  time: 2071.767
pressure: 1008.091, temp: -30.03843,  time: 2086.844
pressure: 1008.332, temp: -30.03843,  time: 2101.981
pressure: 1008.622, temp: -30.01672,  time: 2117.047
pressure: 1008.432, temp: -29.99501,  time: 2132.148
pressure: 1008.191, temp: -29.99501,  time: 2147.284
pressure: 1008.191, temp: -29.99501,  time: 2162.4
pressure: 1008.963, temp: -29.9733,  time: 2177.541
pressure: 1008.482, temp: -29.9733,  time: 2192.648
pressure: 1008.722, temp: -29.9733,  time: 2207.746
pressure: 1008.0, temp: -29.9733,  time: 2222.869
pressure: 1008.291, temp: -29.9516,  time: 2237.992
pressure: 1008.482, temp: -29.9733,  time: 2253.117
pressure: 1008.291, temp: -29.9516,  time: 2268.256
pressure: 1008.532, temp: -29.9516,  time: 2283.351
pressure: 1008.773, temp: -29.9516,  time: 2298.437
pressure: 1008.241, temp: -29.9733,  time: 2313.547
pressure: 1008.532, temp: -29.9516,  time: 2328.664
pressure: 1008.0, temp: -29.9733,  time: 2343.945
pressure: 1008.532, temp: -29.9516,  time: 2359.01
pressure: 1008.05, temp: -29.9516,  time: 2374.039
pressure: 1008.582, temp: -29.9299,  time: 2389.103
pressure: 1008.341, temp: -29.9299,  time: 2404.153
pressure: 1008.391, temp: -29.9082,  time: 2419.253
pressure: 1008.632, temp: -29.9082,  time: 2434.308
pressure: 1008.632, temp: -29.9082,  time: 2449.358
pressure: 1008.682, temp: -29.8865,  time: 2464.378
pressure: 1008.009, temp: -29.86481,  time: 2479.432
